first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Marcos,Senesi Barón,0,4,137,2658,47,309.1,916.4,179.0,11,443,140.7,9,0,8,20.2,51,DEF,26.9
Adam,Smith,0,1,38,804,15,59.3,120.8,18.0,2,120,19.8,4,0,3,0.2,44,DEF,8.6
Adrien,Truffert,0,3,122,2748,45,437.9,659.4,109.0,12,447,120.7,9,0,3,3.4,47,DEF,26.0
Matai,Akinmboni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
Owen,Bevan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
James,Hill,0,3,82,1472,18,106.7,423.2,87.0,2,280,61.9,6,0,2,7.8,42,DEF,19.5
Julián,Araujo Zúñiga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,38,DEF,0.0
Chris,Mepham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Julio,Soler Barreto,0,0,3,34,2,2.5,1.8,2.0,0,2,0.6,0,0,0,0.2,39,DEF,0.8
Justin,Kluivert,2,0,40,914,18,304.1,146.6,128.0,3,147,57.8,4,0,4,0.6,69,MID,5.8
Marcus,Tavernier,5,4,109,2122,39,568.4,497.4,450.0,10,412,151.7,9,0,4,2.7,54,MID,20.2
Tyler,Adams,2,1,60,1412,24,95.0,304.2,105.0,3,279,50.7,6,0,7,0.3,49,MID,12.2
David,Brooks,1,2,48,1041,18,338.3,203.4,402.0,4,186,93.0,4,0,7,0.2,50,MID,9.6
Ryan,Christie,2,1,42,711,12,151.3,191.0,160.0,2,173,50.6,2,0,2,0.1,49,MID,8.6
Lewis,Cook,0,1,38,870,18,183.3,206.0,12.0,0,184,40.4,1,1,1,0.0,49,MID,7.8
Philip,Billing,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Alex,Scott,2,2,108,2308,36,352.4,468.6,273.0,6,480,109.0,9,0,3,1.2,50,MID,21.6
Luis,Sinisterra Lucumí,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Romain,Faivre,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Hamed,Traorè,0,1,4,16,2,10.0,21.2,0.0,0,12,3.1,0,0,0,0.3,45,MID,0.9
Dominic,Sadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Zain,Silcott-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID,0.0
Ben,Winterburn,0,0,1,6,2,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID,0.2
Francisco Evanilson,de Lima Barbosa,6,4,94,2193,35,317.6,299.4,703.0,6,335,131.7,9,0,1,2.1,68,FWD,13.8
Enes,Ünal,1,0,21,173,2,13.0,45.6,86.0,1,54,13.6,0,0,1,0.0,54,FWD,3.9
Daniel,Adu-Adjei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,FWD,0.0
Junior,Kroupi,9,0,79,1148,18,253.2,384.8,384.0,7,353,102.2,6,0,3,5.8,47,FWD,16.8
Ben,Gannon-Doak,0,1,8,56,1,14.5,21.2,15.0,0,21,5.0,0,0,0,0.0,48,MID,1.7
Bafodé,Diakité,0,0,46,1275,27,54.3,267.0,22.0,2,164,34.4,4,0,1,0.3,41,DEF,11.2
Remy,Rees-Dottin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43,MID,0.0
Amine,Adli,3,2,63,1024,16,222.9,264.8,251.0,4,234,73.3,3,0,2,0.4,54,MID,11.7
Álex,Jiménez Sánchez,1,2,64,1956,35,230.1,349.8,170.0,2,248,75.0,5,0,9,0.3,45,DEF,14.2
Veljko,Milosavljevic,0,0,19,367,6,13.9,98.4,10.0,0,63,12.2,1,0,0,0.0,44,DEF,4.3
Malcom,DaCosta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Fraser,Forster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Charlie,Stevens,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Alex,Tóth,0,0,3,71,1,33.5,6.0,14.0,0,10,5.3,0,0,1,0.0,49,MID,0.6
Christos,Mandas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Rayan Vitor,Simplício Rocha,2,1,32,623,5,142.7,132.6,126.0,2,119,40.1,3,0,1,2.1,56,MID,5.7
Reiss,Nelson,0,0,7,55,1,4.0,16.4,20.0,0,18,3.6,0,0,0,0.1,48,MID,1.5
Dango,Ouattara,5,7,106,1710,26,294.8,382.6,466.0,13,335,113.7,4,0,4,3.7,60,MID,17.7
